config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
majors|mid_5p5|tau0.1|pinnacle,majors,mid_5p5,0.1,pinnacle,1977,-0.0046,-0.00478,-0.02301,587,-0.00354,749,0.09242,421,-0.14473,220
betrivers|all|tau0.08|pinnacle,betrivers,all,0.08,pinnacle,709,-0.00487,-0.00508,-0.08858,224,0.04765,142,2e-05,175,0.05725,168
betonlineag|low_le4p5|tau0.04|book,betonlineag,low_le4p5,0.04,book,2461,-0.00508,-0.00524,-0.03887,416,-0.02077,847,0.01962,938,0.01098,260
mybookieag|low_le4p5|tau0.08|book,mybookieag,low_le4p5,0.08,book,1115,-0.0052,-0.00542,0.0455,256,-0.03181,398,-0.04784,344,0.0998,117
all|mid_5p5|tau0.1|book,all,mid_5p5,0.1,book,5304,-0.00528,-0.00523,0.00297,1441,-0.03278,2015,0.099,1217,-0.13743,631
fanduel|low_le4p5|tau0.04|book,fanduel,low_le4p5,0.04,book,2590,-0.00538,-0.00554,-0.02147,506,-0.0211,805,0.01638,928,-0.00367,351
fanduel|all|tau0.06|book,fanduel,all,0.06,book,3906,-0.00543,-0.00566,-0.02554,880,-0.01116,1233,0.02091,1261,-0.02135,532
superbook|mid_5p5|tau0.08|book,superbook,mid_5p5,0.08,book,127,-0.00544,-0.00587,,0,-0.00544,127,,0,,0
fanatics|high_ge6p5|tau0.08|book,fanatics,high_ge6p5,0.08,book,192,-0.00561,-0.00619,,0,,0,-0.03017,147,0.0746,45
pointsbetus|mid_5p5|tau0.1|pinnacle,pointsbetus,mid_5p5,0.1,pinnacle,175,-0.00564,-0.00591,0.01064,121,-0.04213,54,,0,,0
pinnacle|low_le4p5|tau0.08|book,pinnacle,low_le4p5,0.08,book,1701,-0.00579,-0.00594,0.00345,348,-0.04659,522,0.02065,613,0.00281,218
mybookieag|high_ge6p5|tau0.08|book,mybookieag,high_ge6p5,0.08,book,498,-0.00609,-0.0067,-0.09139,153,0.03284,203,0.03806,102,0.01001,40
